winner,season,count(*)
"Mumbai Indians",2008,7
"Deccan Chargers",2008,2
"Kings XI Punjab",2008,10
"Rajasthan Royals",2008,13
"Royal Challengers Bangalore",2008,4
"Delhi Daredevils",2008,7
"Kolkata Knight Riders",2008,6
"Chennai Super Kings",2008,9
"Royal Challengers Bangalore",2009,9
"Mumbai Indians",2009,5
"Delhi Daredevils",2009,10
"Deccan Chargers",2009,9
"Chennai Super Kings",2009,8
"Kolkata Knight Riders",2009,3
"Rajasthan Royals",2009,6
"Kings XI Punjab",2009,7
"Kolkata Knight Riders",2010,7
"Mumbai Indians",2010,11
"Delhi Daredevils",2010,7
"Deccan Chargers",2010,8
"Royal Challengers Bangalore",2010,8
"Chennai Super Kings",2010,9
"Rajasthan Royals",2010,6
"Kings XI Punjab",2010,4
,2011,1
"Royal Challengers Bangalore",2011,10
"Mumbai Indians",2011,10
"Pune Warriors",2011,4
"Kolkata Knight Riders",2011,8
"Kings XI Punjab",2011,7
"Deccan Chargers",2011,6
"Kochi Tuskers Kerala",2011,6
"Delhi Daredevils",2011,4
"Rajasthan Royals",2011,6
"Chennai Super Kings",2011,11
"Delhi Daredevils",2012,11
"Pune Warriors",2012,4
"Rajasthan Royals",2012,7
"Royal Challengers Bangalore",2012,8
"Chennai Super Kings",2012,10
"Kolkata Knight Riders",2012,12
"Kings XI Punjab",2012,8
"Deccan Chargers",2012,4
"Mumbai Indians",2012,10
"Royal Challengers Bangalore",2013,9
"Sunrisers Hyderabad",2013,10
"Rajasthan Royals",2013,11
"Mumbai Indians",2013,13
"Kings XI Punjab",2013,8
"Chennai Super Kings",2013,12
"Pune Warriors",2013,4
"Delhi Daredevils",2013,3
"Kolkata Knight Riders",2013,6
"Kolkata Knight Riders",2014,11
"Royal Challengers Bangalore",2014,5
"Kings XI Punjab",2014,12
"Rajasthan Royals",2014,7
"Delhi Daredevils",2014,2
"Chennai Super Kings",2014,10
"Sunrisers Hyderabad",2014,6
"Mumbai Indians",2014,7
"Chennai Super Kings",2015,10
"Rajasthan Royals",2015,7
"Royal Challengers Bangalore",2015,8
"Kings XI Punjab",2015,3
"Sunrisers Hyderabad",2015,7
"Delhi Daredevils",2015,5
"Mumbai Indians",2015,10
,2015,2
"Kolkata Knight Riders",2015,7
"Rising Pune Supergiants",2016,5
"Kolkata Knight Riders",2016,8
"Gujarat Lions",2016,9
"Royal Challengers Bangalore",2016,9
"Mumbai Indians",2016,7
"Delhi Daredevils",2016,7
"Kings XI Punjab",2016,4
"Sunrisers Hyderabad",2016,11
"Gujarat Lions",2017,4
"Delhi Daredevils",2017,6
"Mumbai Indians",2017,12
"Royal Challengers Bangalore",2017,3
"Kings XI Punjab",2017,7
"Kolkata Knight Riders",2017,9
"Rising Pune Supergiant",2017,10
"Sunrisers Hyderabad",2017,8
